Date,Open,High,Low,Close,Adj Close,Volume
2015-11-30,762.590027,762.840027,720.320007,743.700012,743.700012,0
2015-12-07,742.369995,742.820007,717.750000,718.440002,718.440002,0
2015-12-14,720.070007,752.789978,707.940002,735.000000,735.000000,0
2015-12-21,739.049988,759.840027,733.669983,757.659973,757.659973,0
2015-12-28,753.500000,764.549988,748.830017,752.390015,752.390015,0
2016-01-04,736.780029,738.549988,685.099976,685.900024,685.900024,0
2016-01-11,689.510010,690.049988,631.659973,648.380005,648.380005,0
2016-01-18,656.690002,657.690002,616.119995,655.340027,655.340027,0
2016-01-25,652.000000,659.880005,603.460022,618.659973,618.659973,0
2016-02-01,615.150024,626.690002,591.349976,595.969971,595.969971,0
2016-02-08,586.549988,600.989990,566.969971,588.119995,588.119995,0
2016-02-15,597.510010,618.690002,595.090027,608.450012,608.450012,0
2016-02-22,614.090027,617.760010,589.460022,613.090027,613.090027,0
2016-02-29,612.109985,626.979980,599.239990,618.299988,618.299988,0
2016-03-07,615.690002,634.690002,597.679993,617.280029,617.280029,0
2016-03-14,615.750000,620.450012,580.349976,600.190002,600.190002,0
2016-03-21,598.669983,621.739990,594.880005,605.880005,605.880005,0
2016-03-28,608.909973,634.150024,594.130005,633.169983,633.169983,0
2016-04-04,634.650024,665.789978,630.669983,648.950012,648.950012,0
2016-04-11,651.890015,662.190002,637.119995,658.770020,658.770020,0
2016-04-18,657.700012,678.059998,656.400024,675.840027,675.840027,0
2016-04-25,674.130005,677.799988,629.919983,634.580017,634.580017,0
2016-05-02,636.619995,640.500000,605.090027,611.580017,611.580017,0
2016-05-09,612.840027,628.109985,598.750000,606.239990,606.239990,0
2016-05-16,609.039978,622.520020,606.080017,620.799988,620.799988,0
2016-05-23,620.919983,646.270020,619.909973,646.130005,646.130005,0
2016-05-30,648.919983,665.080017,648.809998,657.299988,657.299988,0
2016-06-06,658.450012,666.229980,631.900024,634.630005,634.630005,0
2016-06-13,633.080017,639.080017,613.020020,613.020020,613.020020,0
2016-06-20,621.140015,626.369995,599.280029,599.710022,599.710022,0
2016-06-27,595.940002,629.719971,581.369995,628.500000,628.500000,0
2016-07-04,626.460022,647.849976,619.130005,646.770020,646.770020,0
2016-07-11,650.369995,654.099976,640.770020,649.090027,649.090027,0
2016-07-18,650.270020,666.239990,643.059998,663.530029,663.530029,0
2016-07-25,663.500000,675.190002,656.010010,674.570007,674.570007,0
2016-08-01,677.599976,690.849976,673.030029,688.109985,688.109985,0
2016-08-08,688.460022,689.510010,672.539978,681.030029,681.030029,0
2016-08-15,682.599976,688.020020,674.099976,678.280029,678.280029,0
2016-08-22,681.140015,692.679993,656.070007,667.320007,667.320007,0
2016-08-29,668.450012,668.950012,655.820007,660.570007,660.570007,0
2016-09-05,662.940002,674.969971,654.960022,654.960022,654.960022,0
2016-09-12,653.140015,678.419983,653.140015,677.659973,677.659973,0
2016-09-19,679.640015,698.169983,676.070007,691.669983,691.669983,0
2016-09-26,688.559998,689.489990,664.090027,674.729980,674.729980,0
2016-10-03,672.320007,678.380005,659.559998,665.080017,665.080017,0
2016-10-10,670.849976,675.130005,632.489990,632.520020,632.520020,0
2016-10-17,632.169983,641.849976,627.330017,633.909973,633.909973,0
2016-10-24,636.719971,637.799988,607.650024,612.369995,612.369995,0
2016-10-31,613.270020,613.710022,587.799988,596.919983,596.919983,0
2016-11-07,608.049988,673.400024,606.789978,661.440002,661.440002,0
2016-11-14,662.900024,670.950012,658.169983,660.280029,660.280029,0
2016-11-21,661.679993,665.510010,642.119995,661.039978,661.039978,0
2016-11-28,659.880005,660.010010,629.599976,633.780029,633.780029,0
2016-12-05,638.690002,643.010010,619.239990,633.950012,633.950012,0
2016-12-12,631.260010,644.960022,628.549988,638.820007,638.820007,0
2016-12-19,638.650024,643.539978,626.719971,639.080017,639.080017,0
2016-12-26,640.419983,646.260010,623.049988,625.140015,625.140015,0
2017-01-02,630.520020,657.179993,629.820007,654.400024,654.400024,0
2017-01-09,659.289978,668.229980,646.099976,656.789978,656.789978,0
2017-01-16,653.330017,653.330017,640.349976,641.440002,641.440002,0
2017-01-23,641.000000,646.359985,628.859985,643.859985,643.859985,0
2017-01-30,642.780029,662.150024,632.510010,662.090027,662.090027,0
2017-02-06,659.719971,666.729980,652.200012,664.239990,664.239990,0
2017-02-13,666.679993,688.630005,665.599976,687.469971,687.469971,0
2017-02-20,688.909973,689.250000,674.520020,683.080017,683.080017,0
2017-02-27,682.919983,706.760010,682.919983,705.520020,705.520020,0
2017-03-06,702.950012,703.080017,688.940002,700.159973,700.159973,0
2017-03-13,700.409973,706.679993,686.349976,690.000000,690.000000,0
2017-03-20,690.489990,694.179993,674.109985,680.489990,680.489990,0
2017-03-27,675.140015,691.419983,674.590027,687.789978,687.789978,0
2017-04-03,688.780029,691.820007,673.200012,681.020020,681.020020,0
2017-04-10,682.260010,684.510010,672.979980,679.289978,679.289978,0
2017-04-17,678.619995,684.690002,671.049988,677.320007,677.320007,0
2017-04-24,685.119995,698.690002,683.510010,697.099976,697.099976,0
2017-05-01,698.580017,701.979980,691.799988,694.619995,694.619995,0
2017-05-08,692.760010,692.789978,678.919983,685.650024,685.650024,0
2017-05-15,685.320007,690.950012,675.900024,680.710022,680.710022,0
2017-05-22,679.710022,686.520020,678.390015,680.950012,680.950012,0
2017-05-29,680.580017,699.659973,671.400024,698.270020,698.270020,0
2017-06-05,700.239990,703.580017,689.469971,694.609985,694.609985,0
2017-06-12,693.849976,702.960022,689.299988,693.799988,693.799988,0
2017-06-19,696.940002,752.150024,696.500000,747.609985,747.609985,0
2017-06-26,749.549988,750.219971,727.150024,730.789978,730.789978,0
2017-07-03,734.190002,741.159973,726.950012,733.739990,733.739990,0
2017-07-10,733.239990,745.760010,726.979980,743.390015,743.390015,0
2017-07-17,744.299988,759.520020,737.539978,757.969971,757.969971,0
2017-07-24,757.739990,767.419983,741.659973,751.530029,751.530029,0
2017-07-31,751.469971,753.570007,733.400024,738.570007,738.570007,0
2017-08-07,738.200012,745.080017,714.859985,720.640015,720.640015,0
2017-08-14,725.239990,733.729980,713.299988,715.590027,715.590027,0
2017-08-21,715.369995,736.299988,713.280029,728.840027,728.840027,0
2017-08-28,735.510010,778.979980,733.900024,777.710022,777.710022,0
2017-09-04,775.409973,783.119995,766.190002,779.630005,779.630005,0
2017-09-11,784.619995,785.510010,774.059998,777.330017,777.330017,0
2017-09-18,778.309998,781.770020,769.969971,775.520020,775.520020,0
2017-09-25,775.330017,781.909973,770.700012,781.500000,781.500000,0
2017-10-02,783.159973,799.359985,782.780029,793.219971,793.219971,0
2017-10-09,794.260010,794.729980,780.700012,781.530029,781.530029,0
2017-10-16,782.900024,790.140015,770.900024,775.000000,775.000000,0
2017-10-23,776.270020,776.390015,733.609985,745.080017,745.080017,0
2017-10-30,744.559998,750.250000,733.729980,746.969971,746.969971,0
2017-11-06,746.030029,747.679993,730.960022,737.559998,737.559998,0
2017-11-13,735.219971,740.200012,719.059998,739.229980,739.229980,0
2017-11-20,739.760010,745.599976,732.710022,744.280029,744.280029,0
2017-11-27,745.020020,757.299988,737.880005,753.109985,753.109985,0
2017-12-04,758.460022,762.900024,729.140015,754.119995,754.119995,0
2017-12-11,759.059998,761.460022,746.700012,758.229980,758.229980,0
2017-12-18,762.260010,763.210022,755.849976,760.849976,760.849976,0
2017-12-25,760.099976,767.729980,758.070007,758.320007,758.320007,0
2018-01-01,762.710022,787.750000,759.409973,782.099976,782.099976,0
