Week,Recession: (United States)
2015/12/6,8
2015/12/13,6
2015/12/20,3
2015/12/27,3
2016/1/3,6
2016/1/10,7
2016/1/17,8
2016/1/24,7
2016/1/31,8
2016/2/7,8
2016/2/14,7
2016/2/21,8
2016/2/28,8
2016/3/6,8
2016/3/13,7
2016/3/20,6
2016/3/27,6
2016/4/3,9
2016/4/10,8
2016/4/17,7
2016/4/24,9
2016/5/1,7
2016/5/8,7
2016/5/15,6
2016/5/22,5
2016/5/29,5
2016/6/5,5
2016/6/12,4
2016/6/19,6
2016/6/26,4
2016/7/3,4
2016/7/10,4
2016/7/17,4
2016/7/24,5
2016/7/31,4
2016/8/7,4
2016/8/14,3
2016/8/21,4
2016/8/28,5
2016/9/4,4
2016/9/11,5
2016/9/18,6
2016/9/25,7
2016/10/2,6
2016/10/9,7
2016/10/16,6
2016/10/23,6
2016/10/30,7
2016/11/6,11
2016/11/13,8
2016/11/20,6
2016/11/27,6
2016/12/4,8
2016/12/11,8
2016/12/18,4
2016/12/25,3
2017/1/1,5
2017/1/8,5
2017/1/15,5
2017/1/22,6
2017/1/29,7
2017/2/5,6
2017/2/12,6
2017/2/19,6
2017/2/26,7
2017/3/5,7
2017/3/12,6
2017/3/19,6
2017/3/26,6
2017/4/2,7
2017/4/9,5
2017/4/16,7
2017/4/23,8
2017/4/30,7
2017/5/7,7
2017/5/14,6
2017/5/21,5
2017/5/28,4
2017/6/4,4
2017/6/11,4
2017/6/18,4
2017/6/25,4
2017/7/2,5
2017/7/9,4
2017/7/16,4
2017/7/23,4
2017/7/30,4
2017/8/6,3
2017/8/13,3
2017/8/20,4
2017/8/27,4
2017/9/3,4
2017/9/10,5
2017/9/17,5
2017/9/24,6
2017/10/1,6
2017/10/8,6
2017/10/15,5
2017/10/22,7
2017/10/29,6
2017/11/5,5
2017/11/12,8
2017/11/19,4
2017/11/26,7
2017/12/3,7
2017/12/10,7
2017/12/17,5
2017/12/24,3
2017/12/31,3
2018/1/7,5
2018/1/14,5
2018/1/21,6
2018/1/28,6
2018/2/4,9
2018/2/11,7
2018/2/18,6
2018/2/25,6
2018/3/4,7
2018/3/11,5
2018/3/18,7
2018/3/25,6
2018/4/1,6
2018/4/8,7
2018/4/15,8
2018/4/22,8
2018/4/29,7
2018/5/6,6
2018/5/13,5
2018/5/20,7
2018/5/27,6
2018/6/3,7
2018/6/10,8
2018/6/17,7
2018/6/24,9
2018/7/1,6
2018/7/8,6
2018/7/15,6
2018/7/22,7
2018/7/29,5
2018/8/5,6
2018/8/12,6
2018/8/19,6
2018/8/26,6
2018/9/2,6
2018/9/9,9
2018/9/16,7
2018/9/23,8
2018/9/30,7
2018/10/7,9
2018/10/14,8
2018/10/21,9
2018/10/28,8
2018/11/4,7
2018/11/11,9
2018/11/18,7
2018/11/25,9
2018/12/2,15
2018/12/9,13
2018/12/16,16
2018/12/23,11
2018/12/30,9
2019/1/6,10
2019/1/13,9
2019/1/20,9
2019/1/27,8
2019/2/3,8
2019/2/10,9
2019/2/17,7
2019/2/24,8
2019/3/3,9
2019/3/10,9
2019/3/17,12
2019/3/24,13
2019/3/31,10
2019/4/7,9
2019/4/14,9
2019/4/21,9
2019/4/28,9
2019/5/5,9
2019/5/12,9
2019/5/19,8
2019/5/26,8
2019/6/2,9
2019/6/9,7
2019/6/16,7
2019/6/23,7
2019/6/30,9
2019/7/7,8
2019/7/14,7
2019/7/21,7
2019/7/28,9
2019/8/4,11
2019/8/11,63
2019/8/18,44
2019/8/25,25
2019/9/1,15
2019/9/8,15
2019/9/15,14
2019/9/22,12
2019/9/29,13
2019/10/6,12
2019/10/13,11
2019/10/20,11
2019/10/27,11
2019/11/3,11
2019/11/10,11
2019/11/17,10
2019/11/24,8
2019/12/1,10
2019/12/8,10
2019/12/15,9
2019/12/22,5
2019/12/29,6
2020/1/5,7
2020/1/12,8
2020/1/19,8
2020/1/26,7
2020/2/2,8
2020/2/9,9
2020/2/16,9
2020/2/23,19
2020/3/1,16
2020/3/8,50
2020/3/15,100
2020/3/22,41
2020/3/29,32
2020/4/5,27
2020/4/12,23
2020/4/19,18
2020/4/26,17
2020/5/3,17
2020/5/10,15
2020/5/17,11
2020/5/24,10
2020/5/31,8
2020/6/7,20
2020/6/14,7
2020/6/21,8
2020/6/28,8
2020/7/5,7
2020/7/12,7
2020/7/19,7
2020/7/26,7
2020/8/2,7
2020/8/9,8
2020/8/16,6
2020/8/23,6
2020/8/30,7
2020/9/6,6
2020/9/13,7
2020/9/20,7
2020/9/27,7
2020/10/4,7
2020/10/11,7
2020/10/18,7
2020/10/25,8
2020/11/1,7
2020/11/8,6
2020/11/15,9
2020/11/22,7
2020/11/29,6
